"key","type","summary","epic"
"TLY-225","Epic","Phase 1: The pack gate must actually hold","pack-gate"
"TLY-226","Epic","Phase 1: Data the product must not lose","data-loss"
"TLY-227","Epic","Phase 1: The board tells the truth","board-truth"
"TLY-228","Epic","Phase 1: Deadlines and dates done properly","dates"
"TLY-229","Epic","Phase 1: What an Irish tender actually demands","etenders-model"
"TLY-230","Epic","Phase 1: Proof it works — CI, deploy and smoke","proof"
"TLY-231","Epic","Phase 1: The interface cannot white-screen","resilience"
"TLY-232","Epic","Phase 2: Knowing and capping what it costs to run","cost"
"TLY-233","Epic","Phase 2: The library that compounds","reuse"
"TLY-234","Epic","Phase 3: Sellable — trust, auth and the public surface","sellable"
"TLY-235","Epic","Phase 3: Beyond one company and one country","beyond-one"
"TLY-236","Story","Block the final pack on unresolved [INPUT NEEDED] markers and over-limit answers","pack-gate"
"TLY-237","Story","Refuse to mark a checklist item ready when it requires a file and no file is attached","pack-gate"
"TLY-238","Story","Treat an expired certificate as unsatisfied in gates, certificate status and blockers","pack-gate"
"TLY-239","Story","Include only the selected lots' questions and only cited people in the final pack","pack-gate"
"TLY-240","Story","Revalidate the lot selection after every re-analysis","pack-gate"
"TLY-241","Story","Block the final pack on answers flagged by a buyer amendment","pack-gate"
"TLY-242","Story","Invalidate the attestation when anything in the submission changes, not just answer text","pack-gate"
"TLY-243","Story","Give a bid an explicit state machine with legal transitions enforced server-side","pack-gate"
"TLY-244","Story","Resolve the recommendation to one source of truth across screen, deck and decision record","pack-gate"
"TLY-245","Story","Stop the retention job deleting submitted bids and their append-only ledgers","data-loss"
"TLY-246","Story","Seed the system organisation so job audit entries cannot silently fail","data-loss"
"TLY-247","Story","Merge tender metadata on re-import instead of replacing it","data-loss"
"TLY-248","Story","Deduplicate source documents on re-import","data-loss"
"TLY-249","Story","Preserve evidence citations when a human edits an answer","data-loss"
"TLY-250","Story","Reject a concurrent answer save instead of overwriting the other editor's work","data-loss"
"TLY-251","Story","Snapshot the evidence, declarations and people a bid cited at the moment of submission","data-loss"
"TLY-252","Story","Stop showing a fit score and fit bars for a tender that has not been analysed","board-truth"
"TLY-253","Story","Tell the user when tender documents were login-gated instead of reporting success","board-truth"
"TLY-254","Story","Make importing a notice a background job with visible progress","board-truth"
"TLY-255","Story","Let the user dismiss a tender with a reason so the board stays the size of the work","board-truth"
"TLY-256","Story","Surface the cross-bid task and next-action feed so work resumes in minutes","board-truth"
"TLY-257","Story","Paginate the board and stop refetching account-wide data per tender","board-truth"
"TLY-258","Story","Make tender analysis wait for the tender pack instead of running on the notice","board-truth"
"TLY-259","Story","Make the Tender Readiness Score the first screen after signup","board-truth"
"TLY-260","Story","Publish read-only shareable links for a qualification report","board-truth"
"TLY-261","Story","Parse submission deadlines as a date and time in Irish local time","dates"
"TLY-262","Story","Build a deadline register covering every date the notice and pack impose","dates"
"TLY-263","Story","Record insurance as named covers with separate limits, and gate each cover on its own","etenders-model"
"TLY-264","Story","Record turnover per financial year and separately for the contract's domain","etenders-model"
"TLY-265","Story","Separate exclusion grounds, selection criteria and award criteria in the analysis","etenders-model"
