"id","type","epic","summary","priority","points","sprint1","labels","dependsOn","acCount","acceptanceCriteria","description"
"E1-01","Story","platform-consolidation","Commit the v1 application source into the repository","Highest","2","yes","platform-consolidation area:infra","","5","AC1 — Given a fresh clone of `main` after this story merges, When the tester runs `git ls-files`, Then `server/src/index.ts`, `server/migrations/001_init.sql`, `components/TenderlyApp.tsx`, `web-static/main.tsx`, `netlify.toml` and `render.yaml` are all listed, And no path beginning `tenderly-v1-source/` appears.
AC2 — Given the fresh clone, When the tester runs `npm ci && npm run build:netlify` at the repository root, Then the command exits with code 0 and the file `dist-netlify/index.html` exists.
AC3 — Given the fresh clone, When the tester runs `npm ci && npm run build && npm test` inside `server/`, Then all three existing test files execute and the command exits with code 0.
AC4 — Given the fresh clone, When the tester runs `git ls-files | grep -E '(^|/)\.env$|node_modules|dist-netlify'`, Then no lines are returned, And `.gitignore` contains entries for `.env`, `node_modules` and `dist-netlify`.
AC5 — Given the remote repository, When the tester runs `git ls-remote --heads origin`, Then `copilot/tenderly-application-development` is absent, And `git ls-remote --tags origin` lists a tag whose name starts `archive/`.","**Context**

The git history on `main` contains only `README.md`. The entire working v1 application (web app, Express API, migrations, deploy config) sits untracked in `tenderly-v1-source/`. Until it is committed, branch-per-story, pull requests, required checks and CI have nothing to operate on, so every other story in this backlog is blocked.

**Notes**

Move `tenderly-v1-source/*` to the repository root, preserving the existing layout (`server/`, `components/`, `web-static/`, `netlify.toml`, `render.yaml`). Verify `.gitignore` excludes `.env`, `node_modules`, `dist`, `dist-netlify` before the first `git add`. Archive the stale `origin/copilot/tenderly-application-development` branch as a tag rather than deleting history outright. No source edits in this story — a pure move, so the diff stays reviewable."
"E1-02","Story","platform-consolidation","Delete vestigial Next.js, Cloudflare, D1 and Drizzle scaffolding","High","2","yes","platform-consolidation area:infra","E1-01","6","AC1 — Given a clone of `main` after merge, When the tester runs `git ls-files | grep -E '^(app|worker|examples|db)/|next.config.ts|drizzle.config.ts|^vite.config.ts$'`, Then no lines are returned.
AC2 — Given the clone, When the tester opens root `package.json`, Then `next`, `vinext`, `wrangler`, `drizzle-orm`, `drizzle-kit` and `@cloudflare/vite-plugin` are absent from both dependency blocks, And `npm ci` exits with code 0.
AC3 — Given the clone, When the tester runs `npm run build:netlify` then serves `dist-netlify/` and opens it in a browser, Then the Discover screen renders with the left navigation showing Discover, My bids, Evidence, Team, Company and Settings.
AC4 — Given a build produced with `VITE_API_URL=https://api.example.test`, When the tester opens the built app, opens the browser Network panel and submits the sign-in form with email `demo@example.test`, Then a request to `https://api.example.test/api/auth/login` appears in the panel.
AC5 — Given the clone, When the tester runs `grep -r 'NEXT_PUBLIC' --exclude-dir=node_modules .`, Then no lines are returned.
AC6 — Given the clone, When the tester opens `docs/ARCHITECTURE.md` and reads the repository layout table, Then no row is marked Vestigial, And the removed paths are not listed.","**Context**

The repository carries a second, never-deployed stack beside the real Vite path: `app/` (Next.js), `worker/` (Cloudflare), `examples/d1/`, `db/` plus `drizzle.config.ts`, `next.config.ts`, `vite.config.ts` and the `vinext`/`wrangler` toolchain. `app/page.tsx` merely re-renders `TenderlyApp`. It doubles the dependency surface and misleads every reader, including future agents. The misleading `NEXT_PUBLIC_API_URL` name in a Vite app belongs to the same cleanup.

**Notes**

Removal is explicitly gated by the master prompt — this story is the gate. Files: `app/`, `worker/`, `examples/`, `db/`, `build/sites-vite-plugin.ts`, `next.config.ts`, `drizzle.config.ts`, `vite.config.ts`, and the `scripts/*.sh` helpers only those paths use. Rename the build-time env var to `VITE_API_URL` in `vite.netlify.config.ts` and update `netlify.toml` plus `docs/`. Risk: `npm run lint`/`test` scripts reference the deleted shell scripts — rewire them in the same commit."
"E1-03","Story","platform-consolidation","Extract a shared types package used by both web and server","High","3","yes","platform-consolidation area:infra","E1-01","5","AC1 — Given a clone of `main` after merge, When the tester runs `grep -n 'type Decision' components/TenderlyApp.tsx`, Then no line is returned, And `grep -rn 'type Decision' packages/shared/src` returns exactly one declaration.
AC2 — Given the repository, When the tester runs `npm run typecheck` at the root, Then the web app, the server and the shared package all type-check and the command exits with code 0.
AC3 — Given a running API and web app, When the tester imports a tender and opens its Qualify screen for a tender the analysis marks as no-go, Then the decision badge reads `No-go` and the browser console shows no error.
AC4 — Given the shared package, When the tester adds a field to a wire type in `packages/shared` and removes it from the server serializer, Then `npm run typecheck` exits non-zero and names the serializer file — proving the two sides are bound to one definition.
AC5 — Given a tender analysed before this change, When the tester requests `GET /api/tenders/:id` and compares the JSON body with the body recorded before the change, Then the two bodies are identical apart from the decision enum spelling agreed in this story.","**Context**

`server/src/types.ts` defines the domain types; `components/TenderlyApp.tsx` re-declares its own copies by hand. They have already drifted: the UI declares `Decision = ""GO"" | ""PARTNER"" | ""REVIEW"" | ""NO-GO""` while the server emits `NO_GO`. Every future epic widens this wire contract, so the duplication must end before E4, E9 and E11 add fields.

**Notes**

Create `packages/shared/` (npm workspace, TypeScript project references) exporting the wire types produced by `server/src/serializers.ts`. Server imports them in `serializers.ts`; the web app imports them in place of its local declarations. Decide one spelling of the decision enum and align the other side plus any CSS class or label mapping that keys off it. No behaviour change is intended — the serialized JSON must stay byte-identical."
"E1-04","Story","platform-consolidation","Extract a typed API client module from the frontend monolith","High","3","yes","platform-consolidation area:web","E1-03","5","AC1 — Given a clone of `main` after merge, When the tester runs `grep -c 'fetch(' components/TenderlyApp.tsx`, Then the result is 0, And `web/src/api/client.ts` exists.
AC2 — Given a running API and a signed-in user, When the tester imports a tender by URL, opens Evidence, adds an evidence item, then downloads the draft pack, Then each action completes and the browser Network panel shows every request carrying an `Authorization: Bearer` header.
AC3 — Given a signed-in session whose token has been edited in browser storage to an invalid value, When the tester reloads and opens My bids, Then an error message naming the failed action is shown on screen and the app returns to the sign-in view rather than rendering an empty list.
AC4 — Given a tender with unresolved mandatory blockers, When the tester clicks Download final ZIP, Then no file downloads and the blocker list returned by the API is displayed on the Assemble screen.
AC5 — Given a build with `VITE_API_URL` left blank, When the tester opens the built app, Then the built-in demo tender list renders without any network request to an API host.","**Context**

`TenderlyApp.tsx` calls `fetch` inline for all 25+ endpoints, repeating base-URL resolution, `Authorization` header assembly, JSON parsing and ad-hoc error handling in each call site. Screen extraction (E1-05 onward) and every later web story need one typed entry point instead.

**Notes**

New `web/src/api/client.ts`: one function per endpoint, arguments and return values typed from `packages/shared`, a single place that attaches the bearer token, a normalised `ApiError` carrying HTTP status plus the server's `error` field, and demo-mode fall-through preserved when `VITE_API_URL` is blank. No screen redesign — pure call-site substitution. Watch the pack endpoint: it returns a binary body plus a 409 blocker list, not JSON on both paths."
"E1-05","Story","platform-consolidation","Introduce client routing and an application shell","Medium","3","no","platform-consolidation area:web","E1-04","5","AC1 — Given a signed-in user on the Discover screen, When the tester clicks My bids, opens a tender and clicks the Respond stage, Then the browser address bar shows a path of the form `/bids/<id>/respond`.
AC2 — Given the tester is on `/bids/<id>/respond`, When they reload the page, Then the same tender opens on the Respond stage without returning to Discover.
AC3 — Given the tester has navigated Discover then Evidence then Company, When they press the browser Back button twice, Then the Discover screen is shown.
AC4 — Given a signed-out browser, When the tester opens `/company` directly, Then the sign-in screen is shown, And after signing in the Company screen opens.
AC5 — Given a signed-in user, When the tester opens `/bids/does-not-exist/qualify`, Then a not-found message with a link back to My bids is shown and the application does not display a blank page.","**Context**

Navigation is component state (`section`, `stage`) inside one file, so no screen is linkable, the browser Back button does nothing useful, and a failed action loses the user's place. Routed screens are the precondition for splitting the monolith into feature modules.

**Notes**

Add `react-router` with routes `/discover`, `/bids`, `/bids/:tenderId/:stage`, `/evidence`, `/team`, `/company`, `/settings`, an auth guard redirecting to `/sign-in`, and a shell component owning the left navigation. `netlify.toml` already has the SPA redirect. Keep the existing visual design untouched in this story."
"E1-06","Story","platform-consolidation","Split Discover, My bids and Evidence screens into feature modules","Medium","5","no","platform-consolidation area:web","E1-05","4","AC1 — Given a clone of `main` after merge, When the tester runs `wc -l components/TenderlyApp.tsx`, Then the count is below 300, And the directories `web/src/features/discover`, `web/src/features/bids` and `web/src/features/evidence` each contain a screen component file.
AC2 — Given a signed-in user with two imported tenders, When the tester opens Discover, My bids and Evidence in turn, Then each screen shows the same fields and controls as before this change, with no console error in the browser.
AC3 — Given the repository, When the tester runs `npm run test:web`, Then component tests for the Discover, My bids and Evidence screens execute and the command exits with code 0.
AC4 — Given the Evidence screen with an item marked unverified, When the tester clicks Verify on that item and reloads the page, Then the item shows as verified — confirming the extracted screen still reaches the API.","**Context**

`TenderlyApp.tsx` is a 974-line file holding every screen. Two developers cannot touch different features without colliding, and no screen can be unit-tested. This story moves the first three screens out behind the routes added in E1-05.

**Notes**

Create `web/src/features/discover/`, `web/src/features/bids/`, `web/src/features/evidence/`, each with its screen component and local state; shared presentational pieces move to `web/src/components/`. Data access goes through the E1-04 client only. Add the first component tests (Vitest + Testing Library) for the three screens. Pure move plus tests — visible behaviour must not change."
"E1-07","Story","platform-consolidation","Split Company, Team, Settings and the five bid stages into feature modules","Medium","5","no","platform-consolidation area:web","E1-06","5","AC1 — Given a clone of `main` after merge, When the tester lists `web/src/features/bids/stages/`, Then five stage component files are present, And `components/TenderlyApp.tsx` either no longer exists or contains fewer than 60 lines.
AC2 — Given an analysed tender, When the tester walks Qualify, Synopsis, Respond, Assemble and Submit in order, Then each stage renders the same content as before this change and the address bar path updates at each step.
AC3 — Given an answer whose text contains `[INPUT NEEDED: turnover for 2024]`, When the tester opens the Respond stage, Then that answer is listed with status `needs-input` and the placeholder text is visible in the answer body.
AC4 — Given a tender with one unresolved mandatory checklist item, When the tester opens the Assemble stage, Then the Download final ZIP control is disabled and the blocker naming that checklist item is listed.
AC5 — Given the repository, When the tester runs `npm run test:web`, Then component tests named for the Respond and Assemble stages execute and the command exits with code 0.","**Context**

The remaining screens (Company, Team, Settings) and the five bid stages (Qualify, Synopsis, Respond, Assemble, Submit) still live in the monolith. Finishing the split retires `TenderlyApp.tsx` as anything other than a thin shell and unblocks E6, E7 and E9, which all add substantial screens.

**Notes**

One module per bid stage under `web/src/features/bids/stages/`, plus `web/src/features/company|team|settings/`. `TenderlyApp.tsx` is deleted or reduced to the router mount. Component tests for the Respond and Assemble stages, which carry the moat behaviour ([INPUT NEEDED] answers and pack gating)."
"E1-08","Story","platform-consolidation","Enforce strict TypeScript, lint and typecheck across web, server and shared","Medium","2","no","platform-consolidation area:infra","E1-03","4","AC1 — Given a clone of `main` after merge, When the tester runs `npm run lint` at the root, Then the command exits with code 0 and reports zero errors.
AC2 — Given the clone, When the tester runs `npm run typecheck` at the root, Then web, server and shared are all checked and the command exits with code 0.
AC3 — Given the tester edits any web source file to assign a string to a variable declared as a number, When they run `npm run typecheck`, Then the command exits non-zero and names that file and line.
AC4 — Given the tester adds an unused import to a server source file, When they run `npm run lint`, Then the command exits non-zero and names that file.","**Context**

The server is strict TypeScript; the web app inherits the scaffolding's config, and the root lint script shells out to `scripts/sites-env.sh` from the deleted Cloudflare toolchain. The PR check created in bootstrap Phase 3 runs lint and typecheck, so both need to be real, fast and green at the root.

**Notes**

One root `tsconfig.base.json` with `strict`, `noUncheckedIndexedAccess` and `noImplicitOverride`; project references for `web`, `server`, `packages/shared`. Flat ESLint config covering all three. Root scripts `lint`, `typecheck`, `test`. Expect a batch of genuine null-safety fixes in the web code — keep them mechanical."
"E2-01","Spike","tender-ingestion","Spike: evaluate eTenders, TED and OGP open data as ingestion sources","High","3","no","tender-ingestion area:data","","5","AC1 — Given the merged branch, When the reviewer opens `docs/DATA_SOURCES.md`, Then it contains one section per source (eTenders, TED, OGP dataset) each stating access method, authentication requirement, update cadence, licence or terms reference with a URL, and a stability assessment.
AC2 — Given the document, When the reviewer reads the TED section, Then it names the exact endpoint used for a sample query restricted to Irish notices, shows a trimmed sample response, and states which fields map to the existing `tenders` columns.
AC3 — Given the document, When the reviewer reads the OGP section, Then it lists the dataset's columns, states the required attribution wording for CC-BY-4.0, and states the row count of the most recent quarterly file.
AC4 — Given the document, When the reviewer reads the recommendation section, Then it states for each source whether to adopt, defer or reject, with a one-paragraph reason, and names the stories in E2 that should be built first.
AC5 — Given the document, When the reviewer reads the eTenders section, Then it states whether the current crawl rate and allow-list posture stays within the portal's published terms, and lists any change required to remain within them.","**Context**

Ingestion currently depends on scraping one HTML portal. Before building on TED or the OGP quarterly dataset the team needs to know each source's access method, licence, stability and rate limits — and whether continued scraping of eTenders is defensible alongside them.

**Notes**

Timebox two days. Output is `docs/DATA_SOURCES.md` plus a recommendation issue-by-issue; no ingestion code beyond throwaway probes. Cover the TED API (search endpoint, authentication, notice schema, coverage of Irish above-threshold notices), the OGP quarterly CSV (fields, cadence, CC-BY-4.0 attribution obligation), and eTenders (terms of use, robots.txt, polite-crawl posture already implemented)."
"E2-02","Story","tender-ingestion","Pin the eTenders parser with recorded fixtures and contract tests","High","3","no","tender-ingestion area:data","","5","AC1 — Given the repository, When the tester runs `npm test` inside `server/`, Then a test named for eTenders field extraction runs against the recorded detail-page fixture and asserts title, buying authority, CPV code, submission deadline and resource id all match the recorded values.
AC2 — Given the tester edits the recorded detail-page fixture to rename the label `Submission deadline` to `Closing date`, When they run `npm test` inside `server/`, Then the suite exits non-zero and the failure message names the missing deadline field.
AC3 — Given the tester edits the recorded search-results fixture to move the notice title into a different table column, When they run `npm test` inside `server/`, Then the suite exits non-zero rather than reporting zero results as a pass.
AC4 — Given the repository, When the tester lists `server/tests/fixtures/etenders/`, Then at least one search-results HTML file and one notice-detail HTML file are present, And neither contains a personal name or email address.
AC5 — Given the test suite, When the tester runs it with no network access available, Then all eTenders tests still execute and exit with code 0 — proving no live portal request is made.","**Context**

`extractStructuredFields` scans detail-page text for 33 known labels and the search crawler reads table positions. A portal redesign changes results silently — imports would keep succeeding with empty fields. There are fixtures for URL safety but no contract test that fails loudly when markup drifts.

**Notes**

Record real search-results and notice-detail HTML into `server/tests/fixtures/etenders/`, scrub any personal data, and assert the full extracted field set (title, buyer, CPV, deadline, procedure, value, resource id). Add a coverage assertion: if fewer than a stated number of known labels are matched on a fixture, the test fails. Files: `server/src/etenders.ts`, `server/tests/etenders.test.ts`."
