"key","type","summary","epic"
"TLY-6","Epic","E1 Platform consolidation — one clean codebase","platform-consolidation"
"TLY-7","Epic","E2 Tender ingestion — feeds and normalisation","tender-ingestion"
"TLY-8","Epic","E3 Discovery and matching — find the right tenders","discovery-matching"
"TLY-9","Epic","E4 Tender intelligence — break the pack down","tender-intelligence"
"TLY-10","Epic","E5 Go/No-Go — recommend, with reasons","go-no-go"
"TLY-11","Epic","E6 Company vault — onboard once, reuse forever","company-vault"
"TLY-12","Epic","E7 People and CVs — the team as data","people-cvs"
"TLY-13","Epic","E8 AI response studio — draft everything, invent nothing","ai-response-studio"
"TLY-14","Epic","E9 Review and compliance — human control and AI provenance","review-compliance"
"TLY-15","Epic","E10 Submission ops — land the plane","submission-ops"
"TLY-16","Epic","E11 Teams and billing — sell it","teams-billing"
"TLY-17","Epic","E12 Trust, security and ops — be sellable to a PLC","trust-security-ops"
"TLY-18","Epic","E13 Quality and release — the harness itself","quality-release"
"TLY-19","Story","Commit the v1 application source into the repository","platform-consolidation"
"TLY-20","Story","Delete vestigial Next.js, Cloudflare, D1 and Drizzle scaffolding","platform-consolidation"
"TLY-21","Story","Extract a shared types package used by both web and server","platform-consolidation"
"TLY-22","Story","Extract a typed API client module from the frontend monolith","platform-consolidation"
"TLY-23","Story","Introduce client routing and an application shell","platform-consolidation"
"TLY-24","Story","Split Discover, My bids and Evidence screens into feature modules","platform-consolidation"
"TLY-25","Story","Split Company, Team, Settings and the five bid stages into feature modules","platform-consolidation"
"TLY-26","Story","Enforce strict TypeScript, lint and typecheck across web, server and shared","platform-consolidation"
"TLY-27","Spike","Spike: evaluate eTenders, TED and OGP open data as ingestion sources","tender-ingestion"
"TLY-28","Story","Pin the eTenders parser with recorded fixtures and contract tests","tender-ingestion"
"TLY-29","Story","Ingest Irish above-threshold notices from the TED API","tender-ingestion"
"TLY-30","Story","Load the OGP quarterly open dataset into an award_history table","tender-ingestion"
"TLY-31","Story","Normalise CPV codes with their hierarchy into a lookup table","tender-ingestion"
"TLY-32","Story","Deduplicate notices across eTenders and TED on external identifiers","tender-ingestion"
"TLY-33","Story","Alert when a source's parse yield drops below its expected floor","tender-ingestion"
"TLY-34","Story","Save a discovery preference profile of CPV codes, sectors and value bands","discovery-matching"
"TLY-35","Spike","Spike: choose a transactional email provider","discovery-matching"
"TLY-36","Story","Explainable match scoring v2 showing which profile facts matched","discovery-matching"
"TLY-37","Story","Daily email digest of new matching notices","discovery-matching"
"TLY-38","Story","Saved searches with named filters on Discover","discovery-matching"
"TLY-39","Story","Watchlist for opportunities that are not yet bids","discovery-matching"
"TLY-40","Story","Version the analysis schema and give questions stable identifiers","tender-intelligence"
"TLY-41","Story","Extract lots and present per-lot scope on the Qualify stage","tender-intelligence"
"TLY-42","Story","Extract award criteria with weightings and confidence","tender-intelligence"
"TLY-43","Story","Extract submission formalities and the required certificates list","tender-intelligence"
"TLY-44","Story","Ask the tender pack: grounded Q&A with source citations","tender-intelligence"
"TLY-45","Story","Diff the analysis when a buyer issues an amendment","tender-intelligence"
"TLY-46","Story","Evaluate hard-gate eligibility deterministically from company facts","go-no-go"
"TLY-47","Story","Score capacity and deadline pressure for the bid decision","go-no-go"
"TLY-48","Story","Surface historical award intelligence for the buyer and CPV","go-no-go"
"TLY-49","Story","Combine signals into a Go/Partner/Review/No-Go recommendation with rationale","go-no-go"
"TLY-50","Story","Record the human bid decision with a reason","go-no-go"
"TLY-51","Story","Portfolio view across live opportunities","go-no-go"
"TLY-52","Spike","Spike: choose a document storage backend for the vault","company-vault"
"TLY-53","Story","Store vault documents as files with metadata","company-vault"
"TLY-54","Story","Guided company onboarding wizard","company-vault"
"TLY-55","Story","Vault completeness meter driven by required document kinds","company-vault"
"TLY-56","Story","Expiry tracking and renewal reminder emails for vault documents","company-vault"
"TLY-57","Story","ESPD-aligned self-declaration set","company-vault"
"TLY-58","Story","Cite vault documents as evidence in drafted answers","company-vault"
"TLY-59","Story","Parse uploaded CVs into structured skills, roles and certifications","people-cvs"
"TLY-60","Story","Skills matrix across the team","people-cvs"
"TLY-61","Story","Match tender roles to people and surface gaps as actions","people-cvs"
"TLY-62","Story","Flag stale CVs and prompt for refresh","people-cvs"
"TLY-63","Story","Manage people records: edit, archive and reinstate","people-cvs"
"TLY-64","Story","Migrate analysis and drafting from OpenAI to the Anthropic API","ai-response-studio"
"TLY-65","Story","Move prompts into versioned files under server/src/prompts","ai-response-studio"
"TLY-66","Story","Harden the model input against prompt injection from tender documents","ai-response-studio"
"TLY-67","Story","Auto-fill the questionnaire from profile, vault and CVs with per-answer citations","ai-response-studio"
"TLY-68","Story","Stream drafting output to the Respond stage","ai-response-studio"
"TLY-69","Story","Meter AI token usage per account into usage_events","ai-response-studio"
"TLY-70","Story","Complete buyer-provided DOCX templates in place","ai-response-studio"
